,GR,DT,DRES,DEN,Depth,COND,CAL,Zone_Tertiary,Zone_Paleocene,Zone_Chalk,Zone_Jurassic
3170,44.4808,107.8958,0.6778,2.3409,8173.5,1475.3615,8.3071,0,1,0,0
3171,43.6877,105.6313,0.6829999999999999,2.3428,8174.0,1464.1288,8.3069,0,1,0,0
3172,41.0976,104.2607,0.7157,2.3314,8174.5,1397.2335,8.3305,0,1,0,0
3173,38.0476,103.8123,0.7251,2.3267,8175.0,1379.1201,8.354,0,1,0,0
3174,37.8859,103.9849,0.7311,2.325,8175.5,1367.8019,8.3573,0,1,0,0
3175,37.8998,105.8646,0.7175,2.3265,8176.0,1393.7283,8.3225,0,1,0,0
3176,37.8804,107.67,0.7084,2.3373,8176.5,1411.6318,8.2485,0,1,0,0
3177,38.7366,108.0567,0.691,2.3563,8177.0,1447.178,8.2578,0,1,0,0
3178,39.3546,108.1908,0.7221,2.3665,8177.5,1384.8497,8.2672,0,1,0,0
3179,39.9446,107.7691,0.7681,2.376,8178.0,1301.9138,8.3015,0,1,0,0
3180,41.0635,107.2716,0.7274,2.3877,8178.5,1374.7594,8.3017,0,1,0,0
3181,44.2739,105.4012,0.7035,2.3886,8179.0,1421.4641,8.3017,0,1,0,0
3182,46.2214,102.8954,0.7102,2.3816,8179.5,1408.0541,8.3017,0,1,0,0
3183,45.197,102.1181,0.7586,2.3755,8180.0,1318.2178,8.3017,0,1,0,0
3184,43.1389,102.0259,0.763,2.371,8180.5,1310.616,8.3017,0,1,0,0
3185,41.0194,102.0259,0.7195,2.371,8181.0,1389.854,8.3017,0,1,0,0
3186,39.7687,102.0122,0.6858,2.3724,8181.5,1458.151,8.306000000000001,0,1,0,0
3187,38.8366,101.8578,0.655,2.3759,8182.0,1526.7177,8.3107,0,1,0,0
3188,39.0342,101.7034,0.6456,2.3781,8182.5,1548.9467,8.3107,0,1,0,0
3189,41.0545,100.6613,0.6365,2.3725,8183.0,1571.0919,8.3083,0,1,0,0
3190,42.3523,100.2153,0.6644,2.3771,8183.5,1505.1174,8.3059,0,1,0,0
3191,41.5768,101.2906,0.7044,2.3833,8184.0,1419.6479,8.297,0,1,0,0
3192,39.8681,101.6611,0.6886,2.3919,8184.5,1452.2219,8.2802,0,1,0,0
3193,36.048,101.4935,0.6613,2.3749,8185.0,1512.1729999999998,8.2646,0,1,0,0
3194,33.8127,101.7683,0.6396,2.3494,8185.5,1563.4772,8.2591,0,1,0,0
3195,33.3962,101.9922,0.5878,2.326,8186.0,1701.2589,8.2591,0,1,0,0
3196,34.2626,102.2162,0.5954,2.3198,8186.5,1679.5432,8.2591,0,1,0,0
3197,34.0457,101.2537,0.6714,2.3503,8187.0,1489.425,8.2591,0,1,0,0
3198,33.1684,100.2879,0.6881,2.369,8187.5,1453.2772,8.2697,0,1,0,0
