,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS,Zone_Chalk,Zone_Jurassic,Zone_Paleocene,Zone_Tertiary
3093,22-12a-10,8135.0,60.6385,8.3013,0.6487,1541.5447,111.0198,2.4846,223.7182,0,0,1,0
3094,22-12a-10,8135.5,61.1994,8.3025,0.6402,1562.0118,111.0483,2.4908,222.4094,0,0,1,0
3095,22-12a-10,8136.0,60.7914,8.3037,0.6294,1588.8147,111.0765,2.4718,222.5395,0,0,1,0
3096,22-12a-10,8136.5,59.9325,8.2975,0.6215,1609.0104,111.1048,2.4554,223.9429,0,0,1,0
3097,22-12a-10,8137.0,60.1949,8.2676,0.6072,1646.9038,111.133,2.4411,225.9725,0,0,1,0
3098,22-12a-10,8137.5,61.5162,8.2622,0.5952,1680.1075,111.143,2.4631,227.5318,0,0,1,0
3099,22-12a-10,8138.0,62.5521,8.2679,0.5981,1671.9612,110.2994,2.4835,227.6608,0,0,1,0
3100,22-12a-10,8138.5,63.227,8.2737,0.6114,1635.5905,107.9033,2.4801,225.5972,0,0,1,0
3101,22-12a-10,8139.0,62.8999,8.2976,0.6244,1601.5375,106.4768,2.4481,223.0927,0,0,1,0
3102,22-12a-10,8139.5,61.3529,8.301,0.6399,1562.7441,107.664,2.4232,220.5722,0,0,1,0
3103,22-12a-10,8140.0,59.5401,8.3069,0.6499,1538.6982,108.7055,2.4157,217.186,0,0,1,0
3104,22-12a-10,8140.5,58.3935,8.3197,0.6449,1550.6279,109.5677,2.4105,212.9378,0,0,1,0
3105,22-12a-10,8141.0,60.7722,8.3326,0.6559999999999999,1524.3903,108.9872,2.4099,208.7925,0,0,1,0
3106,22-12a-10,8141.5,65.0685,8.3392,0.6607,1513.5461,107.8728,2.425,206.604,0,0,1,0
3107,22-12a-10,8142.0,67.4495,8.3422,0.6613,1512.1729999999998,107.9802,2.4384,206.1822,0,0,1,0
3108,22-12a-10,8142.5,69.257,8.3415,0.675,1481.4814,108.0876,2.4366,207.41,0,0,1,0
3109,22-12a-10,8143.0,69.4166,8.3414,0.6666,1500.15,108.1949,2.4385,210.3601,0,0,1,0
3110,22-12a-10,8143.5,68.6189,8.3413,0.6645,1504.8909,110.6676,2.4304,214.477,0,0,1,0
3111,22-12a-10,8144.0,68.6429,8.3413,0.6454,1549.4268,111.118,2.4153,217.886,0,0,1,0
3112,22-12a-10,8144.5,69.8829,8.34,0.633,1579.7788,111.0215,2.4104,219.9265,0,0,1,0
3113,22-12a-10,8145.0,71.6728,8.3198,0.6682,1496.5579,110.8066,2.4303,220.0824,0,0,1,0
3114,22-12a-10,8145.5,69.8387,8.2967,0.7062,1416.0294,110.076,2.4878,218.4618,0,0,1,0
3115,22-12a-10,8146.0,66.8367,8.2814,0.7131,1402.3279,109.6587,2.5051,216.0602,0,0,1,0
3116,22-12a-10,8146.5,64.374,8.2662,0.6970000000000001,1434.7202,108.4653,2.4839,213.9162,0,0,1,0
3117,22-12a-10,8147.0,63.393,8.2611,0.672,1488.0952,108.1994,2.4465,213.7037,0,0,1,0
3118,22-12a-10,8147.5,62.7775,8.3002,0.6397,1563.2328,108.1994,2.4330000000000003,214.1399,0,0,1,0
3119,22-12a-10,8148.0,62.4695,8.299,0.621,1610.306,108.3052,2.4296,214.2079,0,0,1,0
3120,22-12a-10,8148.5,61.8956,8.2999,0.6564,1523.4613,109.9245,2.4379,213.4047,0,0,1,0
3121,22-12a-10,8149.0,61.0054,8.3012,0.6875,1454.5454,109.0899,2.4451,213.4229,0,0,1,0
3122,22-12a-10,8149.5,60.3986,8.3026,0.6971,1434.5144,107.5378,2.4547,213.7393,0,0,1,0
