,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS
14466,22-14b-5,9251.0,44.3485,12.0813,0.7629,1310.7878,82.2844,2.2829,141.0361
14467,22-14b-5,9251.5,36.9092,12.0601,0.7085,1411.4325,82.8665,2.3142,144.9577
14468,22-14b-5,9252.0,33.8012,12.0531,0.6863,1457.0887,84.9507,2.2949,148.5128
14469,22-14b-5,9252.5,33.5872,12.046,0.6128,1631.8538,85.3472,2.2921,149.9867
14470,22-14b-5,9253.0,34.5961,12.0531,0.6063,1649.3485,84.9158,2.3038,150.8336
14471,22-14b-5,9253.5,36.6084,12.0531,0.6487,1541.5447,84.9658,2.4641,151.5528
14472,22-14b-5,9254.0,38.6659,12.0601,0.6758,1479.7277,83.6243,2.2999,153.6006
14473,22-14b-5,9254.5,38.1078,12.0531,0.6987,1431.2294,84.2094,2.2751,155.5633
14474,22-14b-5,9255.0,38.239,12.0672,0.7647,1307.7024,84.1427,2.3134,156.3369
14475,22-14b-5,9255.5,45.4882,12.0742,0.8798,1136.6219,84.7898,2.4742,149.9963
14476,22-14b-5,9256.0,58.6313,12.1236,1.1289,885.818,83.8654,2.5669,148.7556
14477,22-14b-5,9256.5,70.9563,12.1307,1.3933,717.7205,83.9066,2.5238,143.2878
14478,22-14b-5,9257.0,74.0585,12.1236,1.4714,679.6248,84.4659,2.5255,141.4293
14479,22-14b-5,9257.5,72.6197,12.1095,1.2841,778.7555,84.4495,2.4427,139.53
14480,22-14b-5,9258.0,65.4052,12.0531,1.0771,928.4189,84.626,2.3739,138.7543
14481,22-14b-5,9258.5,57.9474,12.0037,0.9041,1106.0724,84.9737,2.2954,138.4551
14482,22-14b-5,9259.0,47.8478,12.0107,0.7536,1326.9639,85.6079,2.3498,138.8496
14483,22-14b-5,9259.5,45.2023,12.0143,0.6409999999999999,1560.0625,84.4768,2.3481,143.2812
14484,22-14b-5,9260.0,41.1297,11.9931,0.6105,1638.0017,83.9276,2.2889,144.0475
14485,22-14b-5,9260.5,44.018,11.9931,0.5997,1667.5005,83.8131,2.3485,144.9204
14486,22-14b-5,9261.0,41.2648,11.9896,0.6078,1645.2781,83.8553,2.3001,144.4416
14487,22-14b-5,9261.5,41.1577,11.9896,0.6513,1535.3907,83.8407,2.2859,143.9109
14488,22-14b-5,9262.0,38.6973,12.0037,0.6823,1465.631,83.2201,2.2963,146.2283
14489,22-14b-5,9262.5,39.71,12.0037,0.6627,1508.9784,83.5916,2.312,147.9653
14490,22-14b-5,9263.0,41.3176,11.9896,0.7221,1384.8497,83.2513,2.3253,148.4428
14491,22-14b-5,9263.5,46.0593,11.9896,0.8389,1192.0371,80.5768,2.378,137.415
14492,22-14b-5,9264.0,51.4057,11.9966,0.9611,1040.4745,80.0638,2.5555,138.8143
14493,22-14b-5,9264.5,55.6926,12.0037,0.9796,1020.8248,81.4024,2.4254,135.3757
14494,22-14b-5,9265.0,52.4774,11.9966,0.9067,1102.9006,81.2349,2.3972,137.2314
14495,22-14b-5,9265.5,48.6287,11.9508,0.7779,1285.5123,81.4584,2.2746,136.6248
14496,22-14b-5,9266.0,46.1346,11.9472,0.6749,1481.701,81.8222,2.2888,133.5043
14497,22-14b-5,9266.5,45.0629,11.9543,0.6357,1573.0691,82.9892,2.3171,139.8618
14498,22-14b-5,9267.0,43.6981,11.9472,0.6447,1551.109,83.0253,2.3889,140.4973
14499,22-14b-5,9267.5,38.7773,11.9331,0.6473,1544.8787,82.4741,2.3059,140.7825
14500,22-14b-5,9268.0,36.2051,11.919,0.6106,1637.7334,82.2143,2.362,141.0307
14501,22-14b-5,9268.5,35.4022,11.9261,0.6254,1598.9767,81.98299999999998,2.3495,141.3011
14502,22-14b-5,9269.0,36.8999,11.919,0.6595,1516.3002,81.5628,2.2898,141.0498
14503,22-14b-5,9269.5,38.9362,11.8908,0.6315,1583.5312,81.3269,2.3239,140.9589
14504,22-14b-5,9270.0,40.1411,11.8202,0.6051,1652.6195,82.0099,2.3304,140.9137
14505,22-14b-5,9270.5,41.6642,11.8132,0.6318,1582.7794,82.2908,2.3071,141.357
14506,22-14b-5,9271.0,40.3546,11.8626,0.7035,1421.4641,82.0399,2.2927,133.3137
14507,22-14b-5,9271.5,37.2732,11.8837,0.7565,1321.8771,81.3924,2.3489,133.628
14508,22-14b-5,9272.0,36.6059,11.8908,0.7372,1356.484,81.0735,2.2974,133.0961
14509,22-14b-5,9272.5,36.2007,11.912,0.7119,1404.6917,80.9725,2.3651,132.4701
14510,22-14b-5,9273.0,40.1661,11.912,0.7712,1296.6805,80.4827,2.4356,132.0483
14511,22-14b-5,9273.5,43.6963,11.919,0.7937,1259.9219,79.0423,2.4167,135.3545
